Train_No,Train_Name,Train_Type,SEQ,Station_Code,Station_Name,Arrival_time,Departure_time,Distance,Runs_On
12384,Rajdhani Exp,SUPERFAST,12,UTN,Utran,22:55:00,22:55:00,124,1111111
12384,Rajdhani Exp,SUPERFAST,13,ST,Surat,22:58:00,--,129,1111111
12011,Vande Bharat Exp,SUPERFAST,1,ST,Surat,--,01:15:00,0,1111111
12011,Vande Bharat Exp,SUPERFAST,2,UTN,Utran,01:21:00,01:23:00,5,1111111
12011,Vande Bharat Exp,SUPERFAST,3,SYN,Sayan,01:29:00,01:29:00,13,1111111
12011,Vande Bharat Exp,SUPERFAST,4,KIM,Kim,01:35:00,01:35:00,25,1111111
12011,Vande Bharat Exp,SUPERFAST,5,KSB,Kosamba Jn,01:39:00,01:39:00,34,1111111
12011,Vande Bharat Exp,SUPERFAST,6,ANK,Ankleshwar Jn,01:48:00,01:50:00,49,1111111
12011,Vande Bharat Exp,SUPERFAST,7,BH,Bharuch Jn,01:59:00,02:02:00,59,1111111
12011,Vande Bharat Exp,SUPERFAST,8,PLJ,Palej,02:16:00,02:16:00,83,1111111
12011,Vande Bharat Exp,SUPERFAST,9,MYG,Miyagam Karjan,02:24:00,02:26:00,96,1111111
12011,Vande Bharat Exp,SUPERFAST,10,ITL,Itola,02:34:00,02:34:00,109,1111111
12011,Vande Bharat Exp,SUPERFAST,11,VRA,Varnama,02:38:00,02:38:00,116,1111111
12011,Vande Bharat Exp,SUPERFAST,12,MKPR,Makarpura,02:41:00,02:41:00,123,1111111
12011,Vande Bharat Exp,SUPERFAST,13,BRC,Vadodara Jn,02:46:00,--,129,1111111
12276,Vande Bharat Exp,SUPERFAST,1,BRC,Vadodara Jn,--,00:27:00,0,1111111
12276,Vande Bharat Exp,SUPERFAST,2,MKPR,Makarpura,00:32:00,00:32:00,6,1111111
12276,Vande Bharat Exp,SUPERFAST,3,VRA,Varnama,00:36:00,00:36:00,13,1111111
12276,Vande Bharat Exp,SUPERFAST,4,ITL,Itola,00:39:00,00:39:00,20,1111111
12276,Vande Bharat Exp,SUPERFAST,5,MYG,Miyagam Karjan,00:46:00,00:46:00,33,1111111
12276,Vande Bharat Exp,SUPERFAST,6,PLJ,Palej,00:54:00,00:56:00,46,1111111
12276,Vande Bharat Exp,SUPERFAST,7,BH,Bharuch Jn,01:11:00,01:14:00,70,1111111
12276,Vande Bharat Exp,SUPERFAST,8,ANK,Ankleshwar Jn,01:21:00,01:21:00,80,1111111
12276,Vande Bharat Exp,SUPERFAST,9,KSB,Kosamba Jn,01:29:00,01:29:00,95,1111111
12276,Vande Bharat Exp,SUPERFAST,10,KIM,Kim,01:33:00,01:33:00,104,1111111
12276,Vande Bharat Exp,SUPERFAST,11,SYN,Sayan,01:41:00,01:43:00,116,1111111
12276,Vande Bharat Exp,SUPERFAST,12,UTN,Utran,01:49:00,01:49:00,124,1111111
12276,Vande Bharat Exp,SUPERFAST,13,ST,Surat,01:52:00,--,129,1111111
12009,Duronto Exp,SUPERFAST,1,ST,Surat,--,04:27:00,0,1111111
12009,Duronto Exp,SUPERFAST,2,UTN,Utran,04:32:00,04:32:00,5,1111111
12009,Duronto Exp,SUPERFAST,3,SYN,Sayan,04:36:00,04:36:00,13,1111111
12009,Duronto Exp,SUPERFAST,4,KIM,Kim,04:42:00,04:42:00,25,1111111
12009,Duronto Exp,SUPERFAST,5,KSB,Kosamba Jn,04:46:00,04:46:00,34,1111111
12009,Duronto Exp,SUPERFAST,6,ANK,Ankleshwar Jn,04:55:00,04:57:00,49,1111111
12009,Duronto Exp,SUPERFAST,7,BH,Bharuch Jn,05:04:00,05:04:00,59,1111111
12009,Duronto Exp,SUPERFAST,8,PLJ,Palej,05:16:00,05:16:00,83,1111111
12009,Duronto Exp,SUPERFAST,9,MYG,Miyagam Karjan,05:23:00,05:23:00,96,1111111
12009,Duronto Exp,SUPERFAST,10,ITL,Itola,05:30:00,05:30:00,109,1111111
12009,Duronto Exp,SUPERFAST,11,VRA,Varnama,05:33:00,05:33:00,116,1111111
12009,Duronto Exp,SUPERFAST,12,MKPR,Makarpura,05:37:00,05:37:00,123,1111111
12009,Duronto Exp,SUPERFAST,13,BRC,Vadodara Jn,05:41:00,--,129,1111111
19642,Ranakpur Exp,EXPRESS,1,BRC,Vadodara Jn,--,15:32:00,0,1111111
19642,Ranakpur Exp,EXPRESS,2,MKPR,Makarpura,15:38:00,15:40:00,6,1111111
19642,Ranakpur Exp,EXPRESS,3,VRA,Varnama,15:47:00,15:47:00,13,1111111
19642,Ranakpur Exp,EXPRESS,4,ITL,Itola,15:51:00,15:51:00,20,1111111
19642,Ranakpur Exp,EXPRESS,5,MYG,Miyagam Karjan,16:00:00,16:02:00,33,1111111
19642,Ranakpur Exp,EXPRESS,6,PLJ,Palej,16:13:00,16:15:00,46,1111111
19642,Ranakpur Exp,EXPRESS,7,BH,Bharuch Jn,16:31:00,16:31:00,70,1111111
19642,Ranakpur Exp,EXPRESS,8,ANK,Ankleshwar Jn,16:37:00,16:37:00,80,1111111
19642,Ranakpur Exp,EXPRESS,9,KSB,Kosamba Jn,16:47:00,16:49:00,95,1111111
19642,Ranakpur Exp,EXPRESS,10,KIM,Kim,16:57:00,16:57:00,104,1111111
19642,Ranakpur Exp,EXPRESS,11,SYN,Sayan,17:04:00,17:04:00,116,1111111
19642,Ranakpur Exp,EXPRESS,12,UTN,Utran,17:09:00,17:09:00,124,1111111
19642,Ranakpur Exp,EXPRESS,13,ST,Surat,17:13:00,--,129,1111111
19261,Kutch Exp,EXPRESS,1,ST,Surat,--,19:22:00,0,1111111
19261,Kutch Exp,EXPRESS,2,UTN,Utran,19:28:00,19:30:00,5,1111111
19261,Kutch Exp,EXPRESS,3,SYN,Sayan,19:37:00,19:37:00,13,1111111
19261,Kutch Exp,EXPRESS,4,KIM,Kim,19:45:00,19:47:00,25,1111111
19261,Kutch Exp,EXPRESS,5,KSB,Kosamba Jn,19:54:00,19:54:00,34,1111111
19261,Kutch Exp,EXPRESS,6,ANK,Ankleshwar Jn,20:05:00,20:07:00,49,1111111
19261,Kutch Exp,EXPRESS,7,BH,Bharuch Jn,20:16:00,20:19:00,59,1111111
19261,Kutch Exp,EXPRESS,8,PLJ,Palej,20:36:00,20:38:00,83,1111111
19261,Kutch Exp,EXPRESS,9,MYG,Miyagam Karjan,20:48:00,20:48:00,96,1111111
19261,Kutch Exp,EXPRESS,10,ITL,Itola,20:57:00,20:59:00,109,1111111
19261,Kutch Exp,EXPRESS,11,VRA,Varnama,21:05:00,21:05:00,116,1111111
19261,Kutch Exp,EXPRESS,12,MKPR,Makarpura,21:10:00,21:10:00,123,1111111
19261,Kutch Exp,EXPRESS,13,BRC,Vadodara Jn,21:14:00,--,129,1111111
19016,Karnavati Exp,EXPRESS,1,BRC,Vadodara Jn,--,05:03:00,0,1111111
19016,Karnavati Exp,EXPRESS,2,MKPR,Makarpura,05:10:00,05:12:00,6,1111111
19016,Karnavati Exp,EXPRESS,3,VRA,Varnama,05:18:00,05:18:00,13,1111111
19016,Karnavati Exp,EXPRESS,4,ITL,Itola,05:24:00,05:26:00,20,1111111
19016,Karnavati Exp,EXPRESS,5,MYG,Miyagam Karjan,05:37:00,05:39:00,33,1111111
19016,Karnavati Exp,EXPRESS,6,PLJ,Palej,05:49:00,05:49:00,46,1111111
19016,Karnavati Exp,EXPRESS,7,BH,Bharuch Jn,06:04:00,06:07:00,70,1111111
19016,Karnavati Exp,EXPRESS,8,ANK,Ankleshwar Jn,06:15:00,06:15:00,80,1111111
19016,Karnavati Exp,EXPRESS,9,KSB,Kosamba Jn,06:25:00,06:27:00,95,1111111
19016,Karnavati Exp,EXPRESS,10,KIM,Kim,06:36:00,06:38:00,104,1111111
19016,Karnavati Exp,EXPRESS,11,SYN,Sayan,06:47:00,06:47:00,116,1111111
19016,Karnavati Exp,EXPRESS,12,UTN,Utran,06:53:00,06:55:00,124,1111111
19016,Karnavati Exp,EXPRESS,13,ST,Surat,07:01:00,--,129,1111111
19486,Ala Hazrat Exp,EXPRESS,1,ST,Surat,--,06:11:00,0,1000000
19486,Ala Hazrat Exp,EXPRESS,2,UTN,Utran,06:16:00,06:16:00,5,1000000
19486,Ala Hazrat Exp,EXPRESS,3,SYN,Sayan,06:21:00,06:21:00,13,1000000
19486,Ala Hazrat Exp,EXPRESS,4,KIM,Kim,06:28:00,06:28:00,25,1000000
19486,Ala Hazrat Exp,EXPRESS,5,KSB,Kosamba Jn,06:34:00,06:36:00,34,1000000
19486,Ala Hazrat Exp,EXPRESS,6,ANK,Ankleshwar Jn,06:49:00,06:51:00,49,1000000
19486,Ala Hazrat Exp,EXPRESS,7,BH,Bharuch Jn,07:00:00,07:03:00,59,1000000
19486,Ala Hazrat Exp,EXPRESS,8,PLJ,Palej,07:19:00,07:19:00,83,1000000
19486,Ala Hazrat Exp,EXPRESS,9,MYG,Miyagam Karjan,07:28:00,07:30:00,96,1000000
19486,Ala Hazrat Exp,EXPRESS,10,ITL,Itola,07:40:00,07:40:00,109,1000000
19486,Ala Hazrat Exp,EXPRESS,11,VRA,Varnama,07:45:00,07:47:00,116,1000000
19486,Ala Hazrat Exp,EXPRESS,12,MKPR,Makarpura,07:54:00,07:54:00,123,1000000
19486,Ala Hazrat Exp,EXPRESS,13,BRC,Vadodara Jn,07:58:00,--,129,1000000
19812,Paschim Exp,EXPRESS,1,BRC,Vadodara Jn,--,17:38:00,0,1111111
19812,Paschim Exp,EXPRESS,2,MKPR,Makarpura,17:43:00,17:43:00,6,1111111
19812,Paschim Exp,EXPRESS,3,VRA,Varnama,17:48:00,17:48:00,13,1111111
19812,Paschim Exp,EXPRESS,4,ITL,Itola,17:53:00,17:55:00,20,1111111
19812,Paschim Exp,EXPRESS,5,MYG,Miyagam Karjan,18:06:00,18:08:00,33,1111111
19812,Paschim Exp,EXPRESS,6,PLJ,Palej,18:19:00,18:21:00,46,1111111
19812,Paschim Exp,EXPRESS,7,BH,Bharuch Jn,18:37:00,18:37:00,70,1111111
19812,Paschim Exp,EXPRESS,8,ANK,Ankleshwar Jn,18:43:00,18:43:00,80,1111111
19812,Paschim Exp,EXPRESS,9,KSB,Kosamba Jn,18:54:00,18:56:00,95,1111111
19812,Paschim Exp,EXPRESS,10,KIM,Kim,19:03:00,19:03:00,104,1111111
19812,Paschim Exp,EXPRESS,11,SYN,Sayan,19:11:00,19:13:00,116,1111111
19812,Paschim Exp,EXPRESS,12,UTN,Utran,19:20:00,19:20:00,124,1111111
19812,Paschim Exp,EXPRESS,13,ST,Surat,19:24:00,--,129,1111111
19118,Ahmedabad Mail,EXPRESS,1,ST,Surat,--,08:17:00,0,0000010
19118,Ahmedabad Mail,EXPRESS,2,UTN,Utran,08:22:00,08:22:00,5,0000010
19118,Ahmedabad Mail,EXPRESS,3,SYN,Sayan,08:27:00,08:27:00,13,0000010
19118,Ahmedabad Mail,EXPRESS,4,KIM,Kim,08:34:00,08:34:00,25,0000010
19118,Ahmedabad Mail,EXPRESS,5,KSB,Kosamba Jn,08:40:00,08:40:00,34,0000010
19118,Ahmedabad Mail,EXPRESS,6,ANK,Ankleshwar Jn,08:49:00,08:49:00,49,0000010
19118,Ahmedabad Mail,EXPRESS,7,BH,Bharuch Jn,08:56:00,08:59:00,59,0000010
19118,Ahmedabad Mail,EXPRESS,8,PLJ,Palej,09:15:00,09:15:00,83,0000010
19118,Ahmedabad Mail,EXPRESS,9,MYG,Miyagam Karjan,09:23:00,09:23:00,96,0000010
19118,Ahmedabad Mail,EXPRESS,10,ITL,Itola,09:32:00,09:34:00,109,0000010
19118,Ahmedabad Mail,EXPRESS,11,VRA,Varnama,09:40:00,09:40:00,116,0000010
19118,Ahmedabad Mail,EXPRESS,12,MKPR,Makarpura,09:46:00,09:48:00,123,0000010
19118,Ahmedabad Mail,EXPRESS,13,BRC,Vadodara Jn,09:55:00,--,129,0000010
19509,Karnavati Exp,EXPRESS,1,BRC,Vadodara Jn,--,06:35:00,0,1111111
19509,Karnavati Exp,EXPRESS,2,MKPR,Makarpura,06:41:00,06:41:00,6,1111111
19509,Karnavati Exp,EXPRESS,3,VRA,Varnama,06:45:00,06:45:00,13,1111111
19509,Karnavati Exp,EXPRESS,4,ITL,Itola,06:49:00,06:49:00,20,1111111
19509,Karnavati Exp,EXPRESS,5,MYG,Miyagam Karjan,06:57:00,06:57:00,33,1111111
19509,Karnavati Exp,EXPRESS,6,PLJ,Palej,07:05:00,07:05:00,46,1111111
19509,Karnavati Exp,EXPRESS,7,BH,Bharuch Jn,07:20:00,07:23:00,70,1111111
19509,Karnavati Exp,EXPRESS,8,ANK,Ankleshwar Jn,07:33:00,07:35:00,80,1111111
19509,Karnavati Exp,EXPRESS,9,KSB,Kosamba Jn,07:46:00,07:46:00,95,1111111
19509,Karnavati Exp,EXPRESS,10,KIM,Kim,07:51:00,07:51:00,104,1111111
19509,Karnavati Exp,EXPRESS,11,SYN,Sayan,07:58:00,07:58:00,116,1111111
19509,Karnavati Exp,EXPRESS,12,UTN,Utran,08:03:00,08:03:00,124,1111111
19509,Karnavati Exp,EXPRESS,13,ST,Surat,08:07:00,--,129,1111111
19203,Ranakpur Exp,EXPRESS,1,ST,Surat,--,16:12:00,0,1111111
19203,Ranakpur Exp,EXPRESS,2,UTN,Utran,16:17:00,16:17:00,5,1111111
19203,Ranakpur Exp,EXPRESS,3,SYN,Sayan,16:21:00,16:21:00,13,1111111
19203,Ranakpur Exp,EXPRESS,4,KIM,Kim,16:29:00,16:29:00,25,1111111
19203,Ranakpur Exp,EXPRESS,5,KSB,Kosamba Jn,16:35:00,16:37:00,34,1111111
19203,Ranakpur Exp,EXPRESS,6,ANK,Ankleshwar Jn,16:49:00,16:51:00,49,1111111
19203,Ranakpur Exp,EXPRESS,7,BH,Bharuch Jn,17:01:00,17:04:00,59,1111111
19203,Ranakpur Exp,EXPRESS,8,PLJ,Palej,17:20:00,17:20:00,83,1111111
19203,Ranakpur Exp,EXPRESS,9,MYG,Miyagam Karjan,17:29:00,17:31:00,96,1111111
19203,Ranakpur Exp,EXPRESS,10,ITL,Itola,17:42:00,17:44:00,109,1111111
19203,Ranakpur Exp,EXPRESS,11,VRA,Varnama,17:50:00,17:50:00,116,1111111
19203,Ranakpur Exp,EXPRESS,12,MKPR,Makarpura,17:54:00,17:54:00,123,1111111
19203,Ranakpur Exp,EXPRESS,13,BRC,Vadodara Jn,17:59:00,--,129,1111111
19173,Paschim Exp,EXPRESS,1,BRC,Vadodara Jn,--,09:50:00,0,1111111
19173,Paschim Exp,EXPRESS,2,MKPR,Makarpura,09:56:00,09:58:00,6,1111111
19173,Paschim Exp,EXPRESS,3,VRA,Varnama,10:05:00,10:05:00,13,1111111
19173,Paschim Exp,EXPRESS,4,ITL,Itola,10:09:00,10:09:00,20,1111111
19173,Paschim Exp,EXPRESS,5,MYG,Miyagam Karjan,10:17:00,10:17:00,33,1111111
19173,Paschim Exp,EXPRESS,6,PLJ,Palej,10:24:00,10:24:00,46,1111111
19173,Paschim Exp,EXPRESS,7,BH,Bharuch Jn,10:40:00,10:43:00,70,1111111
19173,Paschim Exp,EXPRESS,8,ANK,Ankleshwar Jn,10:52:00,10:54:00,80,1111111
19173,Paschim Exp,EXPRESS,9,KSB,Kosamba Jn,11:05:00,11:05:00,95,1111111
19173,Paschim Exp,EXPRESS,10,KIM,Kim,11:11:00,11:11:00,104,1111111
19173,Paschim Exp,EXPRESS,11,SYN,Sayan,11:18:00,11:18:00,116,1111111
19173,Paschim Exp,EXPRESS,12,UTN,Utran,11:24:00,11:26:00,124,1111111
19173,Paschim Exp,EXPRESS,13,ST,Surat,11:32:00,--,129,1111111
19287,Paschim Exp,EXPRESS,1,ST,Surat,--,01:20:00,0,1111111
19287,Paschim Exp,EXPRESS,2,UTN,Utran,01:25:00,01:25:00,5,1111111
19287,Paschim Exp,EXPRESS,3,SYN,Sayan,01:30:00,01:30:00,13,1111111
19287,Paschim Exp,EXPRESS,4,KIM,Kim,01:37:00,01:37:00,25,1111111
19287,Paschim Exp,EXPRESS,5,KSB,Kosamba Jn,01:44:00,01:46:00,34,1111111
19287,Paschim Exp,EXPRESS,6,ANK,Ankleshwar Jn,01:58:00,02:00:00,49,1111111
19287,Paschim Exp,EXPRESS,7,BH,Bharuch Jn,02:09:00,02:12:00,59,1111111
19287,Paschim Exp,EXPRESS,8,PLJ,Palej,02:30:00,02:32:00,83,1111111
19287,Paschim Exp,EXPRESS,9,MYG,Miyagam Karjan,02:42:00,02:42:00,96,1111111
19287,Paschim Exp,EXPRESS,10,ITL,Itola,02:51:00,02:53:00,109,1111111
19287,Paschim Exp,EXPRESS,11,VRA,Varnama,03:00:00,03:02:00,116,1111111
19287,Paschim Exp,EXPRESS,12,MKPR,Makarpura,03:10:00,03:12:00,123,1111111
19287,Paschim Exp,EXPRESS,13,BRC,Vadodara Jn,03:18:00,--,129,1111111
19826,Saurashtra Mail,EXPRESS,1,BRC,Vadodara Jn,--,01:37:00,0,1111111
19826,Saurashtra Mail,EXPRESS,2,MKPR,Makarpura,01:42:00,01:42:00,6,1111111
19826,Saurashtra Mail,EXPRESS,3,VRA,Varnama,01:48:00,01:50:00,13,1111111
19826,Saurashtra Mail,EXPRESS,4,ITL,Itola,01:57:00,01:59:00,20,1111111
19826,Saurashtra Mail,EXPRESS,5,MYG,Miyagam Karjan,02:09:00,02:09:00,33,1111111
19826,Saurashtra Mail,EXPRESS,6,PLJ,Palej,02:17:00,02:17:00,46,1111111
19826,Saurashtra Mail,EXPRESS,7,BH,Bharuch Jn,02:31:00,02:31:00,70,1111111
19826,Saurashtra Mail,EXPRESS,8,ANK,Ankleshwar Jn,02:37:00,02:37:00,80,1111111
19826,Saurashtra Mail,EXPRESS,9,KSB,Kosamba Jn,02:46:00,02:46:00,95,1111111
19826,Saurashtra Mail,EXPRESS,10,KIM,Kim,02:53:00,02:55:00,104,1111111
19826,Saurashtra Mail,EXPRESS,11,SYN,Sayan,03:04:00,03:04:00,116,1111111
19826,Saurashtra Mail,EXPRESS,12,UTN,Utran,03:09:00,03:09:00,124,1111111
19826,Saurashtra Mail,EXPRESS,13,ST,Surat,03:13:00,--,129,1111111
19774,Yoga Exp,EXPRESS,1,ST,Surat,--,07:54:00,0,1111111
19774,Yoga Exp,EXPRESS,2,UTN,Utran,08:00:00,08:02:00,5,1111111
19774,Yoga Exp,EXPRESS,3,SYN,Sayan,08:09:00,08:09:00,13,1111111
19774,Yoga Exp,EXPRESS,4,KIM,Kim,08:16:00,08:16:00,25,1111111
19774,Yoga Exp,EXPRESS,5,KSB,Kosamba Jn,08:21:00,08:21:00,34,1111111
19774,Yoga Exp,EXPRESS,6,ANK,Ankleshwar Jn,08:31:00,08:33:00,49,1111111
19774,Yoga Exp,EXPRESS,7,BH,Bharuch Jn,08:41:00,08:41:00,59,1111111
19774,Yoga Exp,EXPRESS,8,PLJ,Palej,08:56:00,08:56:00,83,1111111
19774,Yoga Exp,EXPRESS,9,MYG,Miyagam Karjan,09:05:00,09:07:00,96,1111111
19774,Yoga Exp,EXPRESS,10,ITL,Itola,09:18:00,09:20:00,109,1111111
19774,Yoga Exp,EXPRESS,11,VRA,Varnama,09:26:00,09:26:00,116,1111111
19774,Yoga Exp,EXPRESS,12,MKPR,Makarpura,09:31:00,09:33:00,123,1111111
19774,Yoga Exp,EXPRESS,13,BRC,Vadodara Jn,09:40:00,--,129,1111111
19966,Yoga Exp,EXPRESS,1,BRC,Vadodara Jn,--,09:30:00,0,1111111
19966,Yoga Exp,EXPRESS,2,MKPR,Makarpura,09:37:00,09:39:00,6,1111111
19966,Yoga Exp,EXPRESS,3,VRA,Varnama,09:45:00,09:45:00,13,1111111
19966,Yoga Exp,EXPRESS,4,ITL,Itola,09:50:00,09:50:00,20,1111111
19966,Yoga Exp,EXPRESS,5,MYG,Miyagam Karjan,09:59:00,10:01:00,33,1111111
19966,Yoga Exp,EXPRESS,6,PLJ,Palej,10:10:00,10:10:00,46,1111111
19966,Yoga Exp,EXPRESS,7,BH,Bharuch Jn,10:25:00,10:25:00,70,1111111
19966,Yoga Exp,EXPRESS,8,ANK,Ankleshwar Jn,10:31:00,10:31:00,80,1111111
19966,Yoga Exp,EXPRESS,9,KSB,Kosamba Jn,10:41:00,10:43:00,95,1111111
19966,Yoga Exp,EXPRESS,10,KIM,Kim,10:52:00,10:54:00,104,1111111
19966,Yoga Exp,EXPRESS,11,SYN,Sayan,11:03:00,11:03:00,116,1111111
19966,Yoga Exp,EXPRESS,12,UTN,Utran,11:09:00,11:11:00,124,1111111
19966,Yoga Exp,EXPRESS,13,ST,Surat,11:17:00,--,129,1111111
19931,Sabarmati Exp,EXPRESS,1,ST,Surat,--,09:07:00,0,1111111
19931,Sabarmati Exp,EXPRESS,2,UTN,Utran,09:12:00,09:12:00,5,1111111
19931,Sabarmati Exp,EXPRESS,3,SYN,Sayan,09:18:00,09:20:00,13,1111111
19931,Sabarmati Exp,EXPRESS,4,KIM,Kim,09:29:00,09:29:00,25,1111111
19931,Sabarmati Exp,EXPRESS,5,KSB,Kosamba Jn,09:35:00,09:37:00,34,1111111
19931,Sabarmati Exp,EXPRESS,6,ANK,Ankleshwar Jn,09:50:00,09:52:00,49,1111111
19931,Sabarmati Exp,EXPRESS,7,BH,Bharuch Jn,10:01:00,10:04:00,59,1111111
